"","Name","Age","Nationality","Club","Overall","Potential","Values","Preferred.Foot","Height","Weight","Country"
"291","K. Bellarabi",28,"Germany","Bayer 04 Leverkusen",81,81,1.8e+07,"Right",183,81,"Germany"
"292","S. Zaza",27,"Italy","Torino",81,82,2.1e+07,"Left",185,84,"Italy"
"293","F. Ghoulam",27,"Algeria","Napoli",81,82,16500000,"Left",183,80,"Italy"
"294","B. Lecomte",27,"France","Montpellier HSC",81,84,1.5e+07,"Left",185,78,"France"
"295","J. Iličić",30,"Slovenia","Atalanta",81,81,1.7e+07,"Left",190,79,"Italy"
"296","K. Volland",25,"Germany","Bayer 04 Leverkusen",81,83,2.2e+07,"Left",178,85,"Germany"
"297","Paco Alcácer",24,"Spain","Borussia Dortmund",81,85,23500000,"Right",175,72,"Germany"
"298","G. Xhaka",25,"Switzerland","Arsenal",81,84,2.2e+07,"Left",185,82,"UK"
"299","D. Tadić",29,"Serbia","Ajax",81,81,17500000,"Left",180,76,"Netherlands"
"300","C. Aránguiz",29,"Chile","Bayer 04 Leverkusen",81,81,1.7e+07,"Right",170,70,"Germany"
"301","S. Verdi",25,"Italy","Napoli",81,81,19500000,"Left",170,61,"Italy"
"302","D. Lovren",28,"Croatia","Liverpool",81,82,1.6e+07,"Right",188,84,"UK"
"303","X. Shaqiri",26,"Switzerland","Liverpool",81,81,1.9e+07,"Left",170,72,"UK"
"304","J. Corona",25,"Mexico","FC Porto",81,83,21500000,"Right",173,62,"Portugal"
"305","A. Areola",25,"France","Paris Saint-Germain",81,85,16500000,"Right",196,94,"France"
"306","K. Vogt",26,"Germany","TSG 1899 Hoffenheim",81,82,17500000,"Right",193,85,"Germany"
"307","Ander Herrera",28,"Spain","Manchester United",81,81,17500000,"Right",183,70,"UK"
"308","E. Salvio",27,"Argentina","SL Benfica",81,81,18500000,"Right",173,77,"Portugal"
"309","S. El Shaarawy",25,"Italy","Roma",81,82,2.1e+07,"Right",178,72,"Italy"
"310","C. Smalling",28,"England","Manchester United",81,82,1.6e+07,"Right",193,81,"UK"
"311","S. Kagawa",29,"Japan","Borussia Dortmund",81,81,17500000,"Right",175,68,"Germany"
"312","M. Lanzini",25,"Argentina","West Ham United",81,85,2.3e+07,"Right",168,59,"UK"
"313","O. Toprak",28,"Turkey","Borussia Dortmund",81,82,1.6e+07,"Right",185,83,"Germany"
"314","D. Perotti",29,"Argentina","Roma",81,81,17500000,"Right",178,70,"Italy"
"315","F. Muslera",32,"Uruguay","Galatasaray SK",81,81,1e+07,"Right",190,74,"Turkey"
"316","S. Kjær",29,"Denmark","Sevilla FC",81,81,1.4e+07,"Right",188,84,"Spain"
"317","S. Bender",29,"Germany","Bayer 04 Leverkusen",81,81,1.4e+07,"Right",185,80,"Germany"
"318","Pedro León",31,"Spain","SD Eibar",81,81,15500000,"Right",183,73,"Spain"
"319","K. Boateng",31,"Ghana","Sassuolo",81,81,1.5e+07,"Right",185,86,"Italy"
"320","L. Piszczek",33,"Poland","Borussia Dortmund",81,81,7e+06,"Right",183,79,"Germany"
"321","A. Candreva",31,"Italy","Inter",81,81,15500000,"Right",180,70,"Italy"
"322","D. Wass",29,"Denmark","Valencia CF",81,81,1.7e+07,"Right",180,74,"Spain"
"323","E. Lamela",26,"Argentina","Tottenham Hotspur",81,82,2.1e+07,"Left",183,80,"UK"
"324","D. Rose",27,"England","Tottenham Hotspur",81,81,14500000,"Left",175,76,"UK"
"325","A. Valencia",32,"Ecuador","Manchester United",81,81,1e+07,"Right",180,83,"UK"
"326","L. Fabiański",33,"Poland","West Ham United",81,81,9e+06,"Right",190,83,"UK"
"327","João Moutinho",31,"Portugal","Wolverhampton Wanderers",81,81,1.5e+07,"Right",170,61,"UK"
"328","Borja Valero",33,"Spain","Inter",81,81,1.1e+07,"Right",175,73,"Italy"
"329","F. Quagliarella",35,"Italy","Sampdoria",81,81,8e+06,"Right",180,79,"Italy"
"330","H. Herrera",28,"Mexico","FC Porto",81,81,17500000,"Right",183,72,"Portugal"
"331","Nani",31,"Portugal","Sporting CP",81,81,15500000,"Right",178,68,"Portugal"
"332","J. Milner",32,"England","Liverpool",81,81,13500000,"Right",175,70,"UK"
"333","J. Mathieu",34,"France","Sporting CP",81,81,5500000,"Left",188,84,"Portugal"
"334","Joaquín",36,"Spain","Real Betis",81,81,6e+06,"Right",178,75,"Spain"
"335","M. Gómez",21,"Uruguay","RC Celta",80,85,20500000,"Right",185,84,"Spain"
"336","K. Havertz",19,"Germany","Bayer 04 Leverkusen",80,89,2.2e+07,"Left",188,83,"Germany"
"337","T. Ndombele",21,"France","Olympique Lyonnais",80,89,22500000,"Right",180,76,"France"
"338","H. Aouar",20,"France","Olympique Lyonnais",80,90,23500000,"Right",175,70,"France"
"339","Carlos Soler",21,"Spain","Valencia CF",80,87,2.1e+07,"Right",180,76,"Spain"
"340","Odriozola",22,"Spain","Real Madrid",80,88,18500000,"Right",175,66,"Spain"
"341","Oyarzabal",21,"Spain","Real Sociedad",80,87,2.1e+07,"Left",180,78,"Spain"
"342","F. Balbuena",26,"Paraguay","West Ham United",80,83,15500000,"Right",188,85,"UK"
"343","M. Marega",27,"Mali","FC Porto",80,80,1.6e+07,"Right",185,83,"Portugal"
"344","B. Pavard",22,"France","VfB Stuttgart",80,86,17500000,"Right",185,76,"Germany"
"345","W. Ndidi",21,"Nigeria","Leicester City",80,85,1.7e+07,"Right",183,74,"UK"
"346","A. Onana",22,"Cameroon","Ajax",80,85,14500000,"Right",188,93,"Netherlands"
"347","G. Lo Celso",22,"Argentina","Real Betis",80,86,2e+07,"Left",175,70,"Spain"
"348","M. Acuña",26,"Argentina","Sporting CP",80,80,12500000,"Left",173,69,"Portugal"
"349","Rúben Neves",21,"Portugal","Wolverhampton Wanderers",80,87,20500000,"Right",180,80,"UK"
"350","Mariano",24,"Dominican Republic","Real Madrid",80,85,2e+07,"Right",180,76,"Spain"
"351","Raúl",28,"Brazil","SC Braga",80,80,1.2e+07,"Left",188,81,"Portugal"
"352","M. Caldara",24,"Italy","Milan",80,86,17500000,"Right",188,80,"Italy"
"353","M. Vecino",26,"Uruguay","Inter",80,81,14500000,"Right",188,81,"Italy"
"354","T. Bakayoko",23,"France","Milan",80,85,1.7e+07,"Right",188,85,"Italy"
"355","M. Dahoud",22,"Germany","Borussia Dortmund",80,86,2e+07,"Right",178,68,"Germany"
"356","Rafa",25,"Portugal","SL Benfica",80,83,18500000,"Right",173,66,"Portugal"
"357","K. Baldé",23,"Senegal","Inter",80,85,2e+07,"Right",180,80,"Italy"
"358","G. Rulli",26,"Argentina","Real Sociedad",80,85,1.4e+07,"Right",188,84,"Spain"
"359","Rony Lopes",22,"Portugal","AS Monaco",80,85,2e+07,"Left",175,68,"France"
"360","Santi Mina",22,"Spain","Valencia CF",80,85,2e+07,"Right",180,77,"Spain"
"361","K. Demirbay",24,"Germany","TSG 1899 Hoffenheim",80,84,19500000,"Left",183,72,"Germany"
"362","Gayà",23,"Spain","Valencia CF",80,85,16500000,"Left",173,66,"Spain"
"363","André Gomes",24,"Portugal","Everton",80,85,19500000,"Right",188,84,"UK"
"364","N. Tagliafico",25,"Argentina","Ajax",80,82,1.5e+07,"Left",170,65,"Netherlands"
"365","M. Sanson",23,"France","Olympique de Marseille",80,85,19500000,"Right",180,73,"France"
"366","E. Can",24,"Germany","Juventus",80,85,19500000,"Right",183,82,"Italy"
"367","H. Çalhanoğlu",24,"Turkey","Milan",80,84,19500000,"Right",178,76,"Italy"
"368","M. Keane",25,"England","Everton",80,83,15500000,"Right",190,82,"UK"
"369","L. Shaw",22,"England","Manchester United",80,85,16500000,"Left",180,75,"UK"
"370","Z. Feddal",28,"Morocco","Real Betis",80,80,1.2e+07,"Left",190,83,"Spain"
"371","S. Haller",24,"France","Eintracht Frankfurt",80,83,1.9e+07,"Right",190,91,"Germany"
"372","Bernard",25,"Brazil","Everton",80,81,17500000,"Right",165,60,"UK"
"373","T. Inui",30,"Japan","Real Betis",80,80,1.4e+07,"Right",170,63,"Spain"
"374","Portu",26,"Spain","Girona FC",80,81,17500000,"Right",178,70,"Spain"
"375","M. Batshuayi",24,"Belgium","Valencia CF",80,84,19500000,"Right",185,78,"Spain"
"376","T. Vaclík",29,"Czech Republic","Sevilla FC",80,81,11500000,"Right",188,85,"Spain"
"377","N. Pope",26,"England","Burnley",80,83,1.3e+07,"Right",201,76,"UK"
"378","Héctor Bellerín",23,"Spain","Arsenal",80,85,16500000,"Right",178,74,"UK"
"379","P. Kadeřábek",26,"Czech Republic","TSG 1899 Hoffenheim",80,81,1.4e+07,"Right",183,81,"Germany"
"380","J. Vestergaard",25,"Denmark","Southampton",80,81,14500000,"Right",198,98,"UK"
"381","J. Tarkowski",25,"England","Burnley",80,83,15500000,"Right",193,81,"UK"
"382","Deulofeu",24,"Spain","Watford",80,82,18500000,"Right",178,73,"UK"
"383","E. Dier",24,"England","Tottenham Hotspur",80,84,16500000,"Right",188,90,"UK"
"384","J. Murillo",26,"Colombia","Valencia CF",80,84,1.6e+07,"Right",183,78,"Spain"
"385","M. Badelj",29,"Croatia","Lazio",80,80,11500000,"Right",185,80,"Italy"
"386","N. Schulz",25,"Germany","TSG 1899 Hoffenheim",80,81,14500000,"Left",180,78,"Germany"
"387","L. Digne",24,"France","Everton",80,84,1.6e+07,"Left",178,74,"UK"
"388","M. Uth",26,"Germany","FC Schalke 04",80,81,17500000,"Left",185,72,"Germany"
"389","Cristian Tello",26,"Spain","Real Betis",80,80,1.6e+07,"Right",178,65,"Spain"
"390","L. Muriel",27,"Colombia","Sevilla FC",80,81,17500000,"Right",178,79,"Spain"
"391","V. Aboubakar",26,"Cameroon","FC Porto",80,82,1.8e+07,"Right",183,82,"Portugal"
"392","A. Oxlade-Chamberlain",24,"England","Liverpool",80,85,19500000,"Right",175,70,"UK"
"393","S. Aurier",25,"Ivory Coast","Tottenham Hotspur",80,83,15500000,"Right",175,76,"UK"
"394","J. Matip",26,"Cameroon","Liverpool",80,82,1.5e+07,"Right",193,90,"UK"
"395","Sergi Enrich",28,"Spain","SD Eibar",80,80,15500000,"Right",180,77,"Spain"
"396","A. Yarmolenko",28,"Ukraine","West Ham United",80,80,1.5e+07,"Left",190,83,"UK"
"397","Hugo Mallo",27,"Spain","RC Celta",80,81,13500000,"Right",175,72,"Spain"
"398","André Almeida",27,"Portugal","SL Benfica",80,80,1.2e+07,"Right",185,80,"Portugal"
"399","D. Didavi",28,"Germany","VfB Stuttgart",80,80,1.5e+07,"Left",180,77,"Germany"
"400","R. Rodríguez",25,"Switzerland","Milan",80,83,15500000,"Left",180,77,"Italy"
"401","R. Pereyra",27,"Argentina","Watford",80,80,15500000,"Right",183,77,"UK"
"402","Mario Gaspar",27,"Spain","Villarreal CF",80,80,1.2e+07,"Right",183,74,"Spain"
"403","Maicon",29,"Brazil","Galatasaray SK",80,80,11500000,"Right",190,89,"Turkey"
"404","D. Blind",28,"Netherlands","Ajax",80,80,1.2e+07,"Left",180,72,"Netherlands"
"405","J. Zoet",27,"Netherlands","PSV",80,83,12500000,"Right",188,88,"Netherlands"
"406","Canales",27,"Spain","Real Betis",80,80,15500000,"Left",180,74,"Spain"
"407","Iago Falqué",28,"Spain","Torino",80,80,1.5e+07,"Left",175,69,"Italy"
"408","L. de Jong",27,"Netherlands","PSV",80,80,1.6e+07,"Right",188,86,"Netherlands"
"409","Guaita",31,"Spain","Crystal Palace",80,80,9e+06,"Right",190,80,"UK"
"410","Muniain",25,"Spain","Athletic Club de Bilbao",80,83,18500000,"Right",170,63,"Spain"
"411","Susaeta",30,"Spain","Athletic Club de Bilbao",80,80,1.4e+07,"Right",178,68,"Spain"
"412","S. Rudy",28,"Germany","FC Schalke 04",80,80,1.2e+07,"Right",178,74,"Germany"
"413","K. Trapp",27,"Germany","Eintracht Frankfurt",80,81,11500000,"Right",188,86,"Germany"
"414","V. Wanyama",27,"Kenya","Tottenham Hotspur",80,82,14500000,"Right",183,87,"UK"
"415","N. Nkoulou",28,"Cameroon","Torino",80,80,1.2e+07,"Right",183,77,"Italy"
"416","R. Boudebouz",28,"Algeria","Real Betis",80,80,1.5e+07,"Left",178,74,"Spain"
"417","Camacho",28,"Spain","VfL Wolfsburg",80,81,13500000,"Right",183,75,"Germany"
"418","M. Musacchio",27,"Argentina","Milan",80,80,12500000,"Right",180,73,"Italy"
"419","C. Stuani",31,"Uruguay","Girona FC",80,80,13500000,"Right",185,72,"Spain"
"420","P. Gulácsi",28,"Hungary","RB Leipzig",80,80,10500000,"Right",193,86,"Germany"
"421","Bruno",34,"Spain","Villarreal CF",80,80,7e+06,"Left",183,73,"Spain"
"422","F. Delph",28,"England","Manchester City",80,80,11500000,"Left",175,78,"UK"
"423","A. Lallana",30,"England","Liverpool",80,80,13500000,"Right",178,73,"UK"
"424","Marcelo",31,"Brazil","Olympique Lyonnais",80,80,1e+07,"Right",190,85,"France"
"425","S. Coleman",29,"Republic of Ireland","Everton",80,80,1.1e+07,"Right",178,67,"UK"
"426","Antunes",31,"Portugal","Getafe CF",80,80,9500000,"Left",175,69,"Spain"
"427","Nacho Monreal",32,"Spain","Arsenal",80,80,8e+06,"Left",178,72,"UK"
"428","Beñat",31,"Spain","Athletic Club de Bilbao",80,80,12500000,"Right",178,76,"Spain"
"429","K. Gameiro",31,"France","Valencia CF",80,80,13500000,"Right",173,70,"Spain"
"430","V. Birsa",31,"Slovenia","Chievo Verona",80,80,1.3e+07,"Left",183,81,"Italy"
"431","S. Romero",31,"Argentina","Manchester United",80,80,9e+06,"Right",193,87,"UK"
"432","D. Criscito",31,"Italy","Genoa",80,80,1e+07,"Left",183,75,"Italy"
"433","D. Sturridge",28,"England","Liverpool",80,80,15500000,"Left",180,76,"UK"
"434","Raúl García",31,"Spain","Athletic Club de Bilbao",80,80,1.3e+07,"Right",183,84,"Spain"
"435","S. Defour",30,"Belgium","Burnley",80,80,13500000,"Right",175,72,"UK"
"436","S. Radu",31,"Romania","Lazio",80,80,1e+07,"Left",183,79,"Italy"
"437","G. Cahill",32,"England","Chelsea",80,80,8500000,"Right",193,88,"UK"
"438","L. Diarra",33,"France","Paris Saint-Germain",80,80,6e+06,"Right",175,74,"France"
"439","Dante",34,"Brazil","OGC Nice",80,80,4500000,"Left",188,85,"France"
"440","M. Gómez",32,"Germany","VfB Stuttgart",80,80,1.2e+07,"Right",188,89,"Germany"
"441","Diego López",36,"Spain","RCD Espanyol",80,80,2e+06,"Right",196,89,"Spain"
"442","Santi Cazorla",33,"Spain","Villarreal CF",80,80,8500000,"Right",168,66,"Spain"
"443","Jesús Navas",32,"Spain","Sevilla FC",80,80,11500000,"Right",170,60,"Spain"
"444","A. Mirante",34,"Italy","Roma",80,80,6e+06,"Right",193,79,"Italy"
"445","D. Srna",36,"Croatia","Cagliari",80,80,1700000,"Right",178,78,"Italy"
"446","Moyá",34,"Spain","Real Sociedad",80,80,6e+06,"Right",188,83,"Spain"
"447","S. Sorrentino",39,"Italy","Chievo Verona",80,80,1e+06,"Right",185,85,"Italy"
"448","Rúben Dias",21,"Portugal","SL Benfica",79,85,1.5e+07,"Right",185,82,"Portugal"
"449","David Neres",21,"Brazil","Ajax",79,86,1.8e+07,"Left",175,66,"Netherlands"
"450","Raphinha",21,"Brazil","Sporting CP",79,86,1.8e+07,"Left",175,68,"Portugal"
"451","A. Harit",21,"Morocco","FC Schalke 04",79,86,1.8e+07,"Right",180,67,"Germany"
"452","Richarlison",21,"Brazil","Everton",79,86,1.8e+07,"Right",180,70,"UK"
"453","L. Martínez",20,"Argentina","Inter",79,86,1.8e+07,"Right",175,79,"Italy"
"454","F. Kessié",21,"Ivory Coast","Milan",79,88,19500000,"Right",183,76,"Italy"
"455","André Silva",22,"Portugal","Sevilla FC",79,87,1.9e+07,"Right",185,79,"Spain"
"456","C. Pulisic",19,"United States","Borussia Dortmund",79,87,1.8e+07,"Right",178,69,"Germany"
"457","M. Dmitrović",26,"Serbia","SD Eibar",79,80,1e+07,"Left",193,90,"Spain"
"458","L. Tousart",21,"France","Olympique Lyonnais",79,84,14500000,"Right",185,83,"France"
"459","Marcos Llorente",23,"Spain","Real Madrid",79,87,1.6e+07,"Right",183,73,"Spain"
"460","S. Bergwijn",20,"Netherlands","PSV",79,86,1.8e+07,"Right",178,78,"Netherlands"
"461","A. Diallo",22,"France","Borussia Dortmund",79,86,1.5e+07,"Left",185,79,"Germany"
"462","A. Golovin",22,"Russia","AS Monaco",79,85,1.7e+07,"Right",180,69,"France"
"463","K. Toko-Ekambi",25,"Cameroon","Villarreal CF",79,80,1.5e+07,"Right",185,74,"Spain"
"464","Granell",29,"Spain","Girona FC",79,79,1.2e+07,"Left",175,70,"Spain"
"465","F. Cervi",24,"Argentina","SL Benfica",79,84,1.7e+07,"Left",165,62,"Portugal"
"466","J. Weigl",22,"Germany","Borussia Dortmund",79,84,14500000,"Right",185,72,"Germany"
"467","V. Lindelöf",23,"Sweden","Manchester United",79,85,14500000,"Right",188,80,"UK"
"468","A. Rebić",24,"Croatia","Eintracht Frankfurt",79,82,1.6e+07,"Right",185,78,"Germany"
"469","A. Sanabria",22,"Paraguay","Real Betis",79,85,17500000,"Right",180,74,"Spain"
"470","R. Battaglia",26,"Argentina","Sporting CP",79,80,14500000,"Right",188,79,"Portugal"
"471","M. Philipp",24,"Germany","Borussia Dortmund",79,84,1.7e+07,"Right",183,79,"Germany"
"472","A. Saint-Maximin",21,"France","OGC Nice",79,86,1.8e+07,"Right",173,67,"France"
"473","D. Zappacosta",26,"Italy","Chelsea",79,81,12500000,"Right",183,72,"UK"
"474","L. Alario",25,"Argentina","Bayer 04 Leverkusen",79,82,1.6e+07,"Right",183,78,"Germany"
"475","J. Gbamin",22,"Ivory Coast","1. FSV Mainz 05",79,84,14500000,"Right",185,83,"Germany"
"476","J. Lerma",23,"Colombia","Bournemouth",79,84,14500000,"Right",178,70,"UK"
"477","Ricardo Horta",23,"Portugal","SC Braga",79,84,1.7e+07,"Right",173,63,"Portugal"
"478","M. Meyer",22,"Germany","Crystal Palace",79,83,1.6e+07,"Right",173,68,"UK"
"479","Bruma",23,"Portugal","RB Leipzig",79,83,16500000,"Right",173,70,"Germany"
"480","Jonny",24,"Spain","Wolverhampton Wanderers",79,83,13500000,"Right",170,70,"UK"
"481","Otávio",23,"Brazil","FC Porto",79,85,17500000,"Right",173,71,"Portugal"
"482","N. Aké",23,"Netherlands","Bournemouth",79,84,14500000,"Left",180,75,"UK"
"483","S. Kolašinac",25,"Bosnia Herzegovina","Arsenal",79,82,1.3e+07,"Left",183,85,"UK"
"484","Roger",27,"Spain","Levante UD",79,80,14500000,"Right",178,74,"Spain"
"485","Sergio Rico",24,"Spain","Fulham",79,83,11500000,"Right",193,88,"UK"
"486","L. Milivojević",27,"Serbia","Crystal Palace",79,81,12500000,"Right",185,80,"UK"
"487","D. Baselli",26,"Italy","Torino",79,82,15500000,"Right",183,70,"Italy"
"488","K. Rekik",23,"Netherlands","Hertha BSC",79,83,1.4e+07,"Left",185,79,"Germany"
"489","Denis Suárez",24,"Spain","FC Barcelona",79,86,17500000,"Right",175,69,"Spain"
"490","W. Orban",25,"Hungary","RB Leipzig",79,81,1.3e+07,"Right",185,83,"Germany"
"491","Mário Rui",27,"Portugal","Napoli",79,80,11500000,"Left",170,67,"Italy"
"492","Iñigo Martínez",27,"Spain","Athletic Club de Bilbao",79,80,1.2e+07,"Left",183,77,"Spain"
"493","K. Zouma",23,"France","Everton",79,83,1.4e+07,"Right",190,96,"UK"
"494","Roque Mesa",29,"Spain","Sevilla FC",79,79,1e+07,"Right",170,74,"Spain"
"495","J. Brooks",25,"United States","VfL Wolfsburg",79,84,1.4e+07,"Left",193,78,"Germany"
"496","D. Klaassen",25,"Netherlands","SV Werder Bremen",79,81,1.5e+07,"Right",178,70,"Germany"
"497","M. Elyounoussi",23,"Norway","Southampton",79,85,17500000,"Right",178,70,"UK"
"498","L. Bittencourt",24,"Germany","TSG 1899 Hoffenheim",79,82,1.6e+07,"Right",170,62,"Germany"
"499","Sergi Darder",24,"Spain","RCD Espanyol",79,83,1.6e+07,"Right",180,71,"Spain"
"500","J. Roussillon",25,"France","VfL Wolfsburg",79,84,1.4e+07,"Left",175,80,"Germany"
"501","D. Demme",26,"Germany","RB Leipzig",79,80,1.2e+07,"Right",170,68,"Germany"
"502","J. Gouweleeuw",26,"Netherlands","FC Augsburg",79,80,1.2e+07,"Right",188,78,"Germany"
"503","M. Rojo",28,"Argentina","Manchester United",79,79,1e+07,"Left",188,80,"UK"
"504","J. Veretout",25,"France","Fiorentina",79,84,16500000,"Right",175,67,"Italy"
"505","L. Kurzawa",25,"France","Paris Saint-Germain",79,82,1.3e+07,"Left",183,76,"France"
"506","G. Ramírez",27,"Uruguay","Sampdoria",79,79,1.3e+07,"Left",183,77,"Italy"
"507","David López",28,"Spain","RCD Espanyol",79,79,1e+07,"Right",183,81,"Spain"
"508","C. Tătăruşanu",32,"Romania","FC Nantes",79,79,7e+06,"Right",196,86,"France"
"509","A. Mandi",26,"Algeria","Real Betis",79,82,1.3e+07,"Right",183,78,"Spain"
"510","D. Sidibé",25,"France","AS Monaco",79,80,1.2e+07,"Right",183,81,"France"
"511","Y. Konoplyanka",28,"Ukraine","FC Schalke 04",79,79,12500000,"Right",178,78,"Germany"
"512","S. Berghuis",26,"Netherlands","Feyenoord",79,80,1.5e+07,"Left",183,72,"Netherlands"
"513","Campaña",25,"Spain","Levante UD",79,82,15500000,"Right",178,70,"Spain"
"514","M. van Ginkel",25,"Netherlands","Chelsea",79,80,14500000,"Right",185,82,"UK"
"515","Nolito",31,"Spain","Sevilla FC",79,79,1.1e+07,"Right",175,72,"Spain"
"516","M. Gregoritsch",24,"Austria","FC Augsburg",79,82,1.6e+07,"Left",193,87,"Germany"
"517","Danilo",26,"Brazil","Manchester City",79,80,1.2e+07,"Right",183,78,"UK"
"518","R. Barkley",24,"England","Chelsea",79,82,1.6e+07,"Right",185,87,"UK"
"519","M. Ryan",26,"Australia","Brighton & Hove Albion",79,81,10500000,"Right",183,82,"UK"
"520","Sergio León",29,"Spain","Real Betis",79,79,12500000,"Right",178,73,"Spain"
"521","B. Stambouli",27,"France","FC Schalke 04",79,79,10500000,"Right",180,82,"Germany"
"522","J. Guilavogui",27,"France","VfL Wolfsburg",79,80,1.2e+07,"Right",188,77,"Germany"
"523","Sérgio Oliveira",26,"Portugal","FC Porto",79,82,15500000,"Right",180,72,"Portugal"
"524","D. Caligiuri",30,"Italy","FC Schalke 04",79,79,9e+06,"Right",183,80,"Germany"
"525","C. Wilson",26,"England","Bournemouth",79,81,15500000,"Right",180,66,"UK"
"526","P. Jones",26,"England","Manchester United",79,80,1.2e+07,"Right",185,71,"UK"
"527","Borja García",27,"Spain","Girona FC",79,79,1.3e+07,"Right",175,72,"Spain"
"528","Y. Belhanda",28,"Morocco","Galatasaray SK",79,79,12500000,"Right",178,75,"Turkey"
"529","G. Pezzella",27,"Argentina","Fiorentina",79,81,12500000,"Right",185,81,"Italy"
"530","Jaume Costa",30,"Spain","Villarreal CF",79,79,9e+06,"Left",170,62,"Spain"
"531","C. Tosun",27,"Turkey","Everton",79,80,14500000,"Right",183,78,"UK"
"532","Escudero",28,"Spain","Sevilla FC",79,79,1e+07,"Left",175,72,"Spain"
"533","Kike García",28,"Spain","SD Eibar",79,79,1.3e+07,"Right",185,79,"Spain"
"534","J. Guðmundsson",27,"Iceland","Burnley",79,79,1.3e+07,"Left",178,77,"UK"
"535","N. Clyne",27,"England","Liverpool",79,80,11500000,"Right",175,67,"UK"
"536","M. Hitz",30,"Switzerland","Borussia Dortmund",79,79,8e+06,"Right",193,89,"Germany"
